"Date Printed: Thursday, June 1, 2023 9:45:59 PM",,,,,,,,,,
"Title: ""HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | United States | All races/ethnicities | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""""",,,,,,,,,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,2011,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,79,Data not available,NA
HIV diagnoses,2011,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,896",Data not available,NA
HIV diagnoses,2010,United States,NA,55+,All races/ethnicities,Male,Other,12,Data not available,NA
HIV diagnoses,2010,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,738,Data not available,NA
HIV diagnoses,2010,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,103,Data not available,NA
HIV diagnoses,2010,United States,NA,55+,All races/ethnicities,Male,Injection drug use,375,Data not available,NA
HIV diagnoses,2010,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,556",Data not available,NA
HIV diagnoses,2010,United States,NA,45-54,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2010,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"1,129",Data not available,NA
HIV diagnoses,2010,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,301,Data not available,NA
HIV diagnoses,2010,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,616,Data not available,NA
HIV diagnoses,2010,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"4,063",Data not available,NA
HIV diagnoses,2010,United States,NA,35-44,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2010,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"1,082",Data not available,NA
HIV diagnoses,2010,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,437,Data not available,NA
HIV diagnoses,2010,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,471,Data not available,NA
HIV diagnoses,2010,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"5,697",Data not available,NA
HIV diagnoses,2010,United States,NA,25-34,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2010,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,746,Data not available,NA
HIV diagnoses,2010,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,600,Data not available,NA
HIV diagnoses,2010,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,312,Data not available,NA
HIV diagnoses,2010,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"7,584",Data not available,NA
HIV diagnoses,2010,United States,NA,13-24,All races/ethnicities,Male,Other,13,Data not available,NA
HIV diagnoses,2010,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,288,Data not available,NA
HIV diagnoses,2010,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,409,Data not available,NA
HIV diagnoses,2010,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,89,Data not available,NA
HIV diagnoses,2010,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,850",Data not available,NA
HIV diagnoses,2009,United States,NA,55+,All races/ethnicities,Male,Other,13,Data not available,NA
HIV diagnoses,2009,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,762,Data not available,NA
HIV diagnoses,2009,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,97,Data not available,NA
HIV diagnoses,2009,United States,NA,55+,All races/ethnicities,Male,Injection drug use,394,Data not available,NA
HIV diagnoses,2009,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,581",Data not available,NA
HIV diagnoses,2009,United States,NA,45-54,All races/ethnicities,Male,Other,5,Data not available,NA
HIV diagnoses,2009,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"1,237",Data not available,NA
HIV diagnoses,2009,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,330,Data not available,NA
HIV diagnoses,2009,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,699,Data not available,NA
HIV diagnoses,2009,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"4,102",Data not available,NA
HIV diagnoses,2009,United States,NA,35-44,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2009,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"1,167",Data not available,NA
HIV diagnoses,2009,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,506,Data not available,NA
HIV diagnoses,2009,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,571,Data not available,NA
HIV diagnoses,2009,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"6,367",Data not available,NA
HIV diagnoses,2009,United States,NA,25-34,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2009,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,867,Data not available,NA
HIV diagnoses,2009,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,643,Data not available,NA
HIV diagnoses,2009,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,333,Data not available,NA
HIV diagnoses,2009,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"7,511",Data not available,NA
HIV diagnoses,2009,United States,NA,13-24,All races/ethnicities,Male,Other,18,Data not available,NA
HIV diagnoses,2009,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,305,Data not available,NA
HIV diagnoses,2009,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,419,Data not available,NA
HIV diagnoses,2009,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,104,Data not available,NA
HIV diagnoses,2009,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,331",Data not available,NA
HIV diagnoses,2008,United States,NA,55+,All races/ethnicities,Male,Other,16,Data not available,NA
HIV diagnoses,2008,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,830,Data not available,NA
HIV diagnoses,2008,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,113,Data not available,NA
HIV diagnoses,2008,United States,NA,55+,All races/ethnicities,Male,Injection drug use,444,Data not available,NA
HIV diagnoses,2008,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,594",Data not available,NA
HIV diagnoses,2008,United States,NA,45-54,All races/ethnicities,Male,Other,9,Data not available,NA
HIV diagnoses,2008,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"1,319",Data not available,NA
HIV diagnoses,2008,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,355,Data not available,NA
HIV diagnoses,2008,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,886,Data not available,NA
HIV diagnoses,2008,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"4,299",Data not available,NA
HIV diagnoses,2008,United States,NA,35-44,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2008,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"1,332",Data not available,NA
HIV diagnoses,2008,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,620,Data not available,NA
HIV diagnoses,2008,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,652,Data not available,NA
HIV diagnoses,2008,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"6,910",Data not available,NA
HIV diagnoses,2008,United States,NA,25-34,All races/ethnicities,Male,Other,6,Data not available,NA
HIV diagnoses,2008,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,874,Data not available,NA
HIV diagnoses,2008,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,646,Data not available,NA
HIV diagnoses,2008,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,400,Data not available,NA
HIV diagnoses,2008,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"7,534",Data not available,NA
HIV diagnoses,2008,United States,NA,13-24,All races/ethnicities,Male,Other,9,Data not available,NA
HIV diagnoses,2008,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,306,Data not available,NA
HIV diagnoses,2008,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,384,Data not available,NA
HIV diagnoses,2008,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,116,Data not available,NA
HIV diagnoses,2008,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"5,963",Data not available,NA
